pthread, 500000, 4, 99.224007
pthread, 600000, 4, 121.700790
pthread, 700000, 4, 138.785004
pthread, 800000, 4, 152.148102
pthread, 900000, 4, 189.912018
pthread, 1000000, 4, 218.388916
pthread, 2000000, 4, 389.756500
pthread, 3000000, 4, 608.274414
pthread, 4000000, 4, 799.838318
pthread, 5000000, 4, 952.772461
cilk, 500000, 4, 95.097404
cilk, 600000, 4, 130.303696
cilk, 700000, 4, 136.801804
cilk, 800000, 4, 148.857391
cilk, 900000, 4, 173.001190
cilk, 1000000, 4, 219.210297
cilk, 2000000, 4, 435.545715
cilk, 3000000, 4, 676.507874
cilk, 4000000, 4, 758.614990
cilk, 5000000, 4, 915.992981
multicilk, 500000, 4, 109.099998
multicilk, 600000, 4, 127.500000
multicilk, 700000, 4, 139.600006
multicilk, 800000, 4, 148.899994
multicilk, 900000, 4, 187.699997
multicilk, 1000000, 4, 191.600006
multicilk, 2000000, 4, 373.500000
multicilk, 3000000, 4, 570.200012
multicilk, 4000000, 4, 767.799988
multicilk, 5000000, 4, 917.900024
