method, threads, time
pthread, 1000000, 1, 5.775000
pthread, 1000000, 2, 2.881000
pthread, 1000000, 3, 2.744000
pthread, 1000000, 4, 2.442000
pthread, 1000000, 5, 2.282000
pthread, 1000000, 6, 3.351000
pthread, 1000000, 7, 4.651000
pthread, 1000000, 8, 3.758000
pthread, 1000000, 9, 2.583000
pthread, 1000000, 10, 3.051000
pthread, 1000000, 11, 2.902000
pthread, 1000000, 12, 3.121000
pthread, 1000000, 13, 2.831000
pthread, 1000000, 14, 3.084000
pthread, 1000000, 15, 3.226000
pthread, 1000000, 16, 2.767000
cilk, 1000000, 1, 0.973000
cilk, 1000000, 2, 1.265000
cilk, 1000000, 3, 1.264000
cilk, 1000000, 4, 1.409000
cilk, 1000000, 5, 1.232000
cilk, 1000000, 6, 1.356000
cilk, 1000000, 7, 1.364000
cilk, 1000000, 8, 3.073000
cilk, 1000000, 9, 12.507000
cilk, 1000000, 10, 1.663000
cilk, 1000000, 11, 1.664000
cilk, 1000000, 12, 2.444000
cilk, 1000000, 13, 1.760000
cilk, 1000000, 14, 1.714000
cilk, 1000000, 15, 9.842000
cilk, 1000000, 16, 2.400000
pthread, 2000000, 1, 8.548000
pthread, 2000000, 2, 5.120000
pthread, 2000000, 3, 4.112000
pthread, 2000000, 4, 3.360000
pthread, 2000000, 5, 5.089000
pthread, 2000000, 6, 4.548000
pthread, 2000000, 7, 3.951000
pthread, 2000000, 8, 6.368000
pthread, 2000000, 9, 4.633000
pthread, 2000000, 10, 3.859000
pthread, 2000000, 11, 3.629000
pthread, 2000000, 12, 3.866000
pthread, 2000000, 13, 4.042000
pthread, 2000000, 14, 3.921000
pthread, 2000000, 15, 4.901000
pthread, 2000000, 16, 3.582000
cilk, 2000000, 1, 2.243000
cilk, 2000000, 2, 1.450000
cilk, 2000000, 3, 1.700000
cilk, 2000000, 4, 4.286000
cilk, 2000000, 5, 1.942000
cilk, 2000000, 6, 1.686000
cilk, 2000000, 7, 2.360000
cilk, 2000000, 8, 1.792000
cilk, 2000000, 9, 2.247000
cilk, 2000000, 10, 1.904000
cilk, 2000000, 11, 2.167000
cilk, 2000000, 12, 2.515000
cilk, 2000000, 13, 4.044000
cilk, 2000000, 14, 13.236000
cilk, 2000000, 15, 8.313000
cilk, 2000000, 16, 3.081000
pthread, 5000000, 1, 22.271000
pthread, 5000000, 2, 14.377000
pthread, 5000000, 3, 38.014999
pthread, 5000000, 4, 11.566000
pthread, 5000000, 5, 9.939000
pthread, 5000000, 6, 7.482000
pthread, 5000000, 7, 12.418000
pthread, 5000000, 8, 6.826000
pthread, 5000000, 9, 9.646000
pthread, 5000000, 10, 7.136000
pthread, 5000000, 11, 7.085000
pthread, 5000000, 12, 7.784000
pthread, 5000000, 13, 11.015000
pthread, 5000000, 14, 13.319000
pthread, 5000000, 15, 10.270000
pthread, 5000000, 16, 9.553000
cilk, 5000000, 1, 4.590000
cilk, 5000000, 2, 3.432000
cilk, 5000000, 3, 3.433000
cilk, 5000000, 4, 3.205000
cilk, 5000000, 5, 4.459000
cilk, 5000000, 6, 3.325000
cilk, 5000000, 7, 3.867000
cilk, 5000000, 8, 18.639999
cilk, 5000000, 9, 9.401000
cilk, 5000000, 10, 6.848000
cilk, 5000000, 11, 10.144000
cilk, 5000000, 12, 7.368000
cilk, 5000000, 13, 3.918000
cilk, 5000000, 14, 4.544000
cilk, 5000000, 15, 4.120000
cilk, 5000000, 16, 9.933000

